numeroMesa;provincia;municipio;localidad;recinto;inscritosHabilitados;estadoAlcalde;estadoConcejal
1;José María Linares;Puna;Puna(C.Villa Talavera);Esc. Jose Maria Linares;0;PENDIENTE;PENDIENTE
2;José María Linares;Puna;Puna(C.Villa Talavera);Esc. Jose Maria Linares;0;PENDIENTE;PENDIENTE
3;José María Linares;Puna;Puna(C.Villa Talavera);Esc. Jose Maria Linares;0;PENDIENTE;PENDIENTE
4;José María Linares;Puna;Puna(C.Villa Talavera);Esc. Jose Maria Linares;0;PENDIENTE;PENDIENTE
5;José María Linares;Puna;Puna(C.Villa Talavera);Esc. Jose Maria Linares;0;PENDIENTE;PENDIENTE
1;José María Linares;Puna;Puna(C.Villa Talavera);Coleg. Litoral;0;PENDIENTE;PENDIENTE
2;José María Linares;Puna;Puna(C.Villa Talavera);Coleg. Litoral;0;PENDIENTE;PENDIENTE
3;José María Linares;Puna;Puna(C.Villa Talavera);Coleg. Litoral;0;PENDIENTE;PENDIENTE
4;José María Linares;Puna;Puna(C.Villa Talavera);Coleg. Litoral;0;PENDIENTE;PENDIENTE
5;José María Linares;Puna;Puna(C.Villa Talavera);Coleg. Litoral;0;PENDIENTE;PENDIENTE
1;José María Linares;Puna;Yascapi;Esc. Yascapi;0;PENDIENTE;PENDIENTE
1;José María Linares;Puna;Belen;U. E. Tres Cruces Alcatuyo;0;PENDIENTE;PENDIENTE
2;José María Linares;Puna;Belen;U. E. Tres Cruces Alcatuyo;0;PENDIENTE;PENDIENTE
1;José María Linares;Puna;Belen;U.E. Belen;0;PENDIENTE;PENDIENTE
2;José María Linares;Puna;Belen;U.E. Belen;0;PENDIENTE;PENDIENTE
3;José María Linares;Puna;Belen;U.E. Belen;0;PENDIENTE;PENDIENTE
1;José María Linares;Puna;Miculpaya;U.E. Miculpaya;0;PENDIENTE;PENDIENTE
2;José María Linares;Puna;Miculpaya;U.E. Miculpaya;0;PENDIENTE;PENDIENTE
1;José María Linares;Puna;Marasa;U.E. Jose Alonso De Ibañez;0;PENDIENTE;PENDIENTE
1;José María Linares;Puna;San Lorenzo;U.E. Luis Espinal De San Lorenzo;0;PENDIENTE;PENDIENTE
1;José María Linares;Puna;Suquicha;U.E. Fray Franco Valli Brogi De Suquicha;0;PENDIENTE;PENDIENTE
2;José María Linares;Puna;Suquicha;U.E. Fray Franco Valli Brogi De Suquicha;0;PENDIENTE;PENDIENTE
1;José María Linares;Puna;Esmeralda Baja;U.E. 20 de Octubre;0;PENDIENTE;PENDIENTE
2;José María Linares;Puna;Esmeralda Baja;U.E. 20 de Octubre;0;PENDIENTE;PENDIENTE
1;José María Linares;Puna;Otavi;U.E. Otavi Simon Bolivar;0;PENDIENTE;PENDIENTE
2;José María Linares;Puna;Otavi;U.E. Otavi Simon Bolivar;0;PENDIENTE;PENDIENTE
3;José María Linares;Puna;Otavi;U.E. Otavi Simon Bolivar;0;PENDIENTE;PENDIENTE
1;José María Linares;Puna;Kepallo;U.E. Mariscal Andres De Santa Cruz de Kepallo;0;PENDIENTE;PENDIENTE
2;José María Linares;Puna;Kepallo;U.E. Mariscal Andres De Santa Cruz de Kepallo;0;PENDIENTE;PENDIENTE
1;José María Linares;Puna;Nuqui;Esc. De Nuqui;0;PENDIENTE;PENDIENTE
2;José María Linares;Puna;Nuqui;Esc. De Nuqui;0;PENDIENTE;PENDIENTE
1;José María Linares;Puna;Pacasi;Esc. Tomas Frias;0;PENDIENTE;PENDIENTE
2;José María Linares;Puna;Pacasi;Esc. Tomas Frias;0;PENDIENTE;PENDIENTE
3;José María Linares;Puna;Pacasi;Esc. Tomas Frias;0;PENDIENTE;PENDIENTE
1;José María Linares;Puna;Vilacaya;U.E. Vilacaya;0;PENDIENTE;PENDIENTE
2;José María Linares;Puna;Vilacaya;U.E. Vilacaya;0;PENDIENTE;PENDIENTE
1;José María Linares;Puna;Chillcani (Zona D);U.E. German Busch;0;PENDIENTE;PENDIENTE
1;José María Linares;Puna;Inchasi;U.E. Inchasi;0;PENDIENTE;PENDIENTE
1;José María Linares;Puna;Sepulturas;Esc. Sepulturas;0;PENDIENTE;PENDIENTE
2;José María Linares;Puna;Sepulturas;Esc. Sepulturas;0;PENDIENTE;PENDIENTE
1;José María Linares;Puna;Alkatuyo;U.E. Raul Perez De Alkatuyo;0;PENDIENTE;PENDIENTE
2;José María Linares;Puna;Alkatuyo;U.E. Raul Perez De Alkatuyo;0;PENDIENTE;PENDIENTE
1;José María Linares;Puna;Pampa Tambo;U.E. Pampa Tambo;0;PENDIENTE;PENDIENTE
1;José María Linares;Puna;Molino Pampa;U.E. Molino Pampa;0;PENDIENTE;PENDIENTE
1;José María Linares;Puna;Turquiña;U.E. Turquiña;0;PENDIENTE;PENDIENTE
1;José María Linares;Puna;Chacabuco (Estancia Chinoli);U.E. Gerardo Maldini de Chacabuco (Estacion Chinoli);0;PENDIENTE;PENDIENTE
2;José María Linares;Puna;Chacabuco (Estancia Chinoli);U.E. Gerardo Maldini de Chacabuco (Estacion Chinoli);0;PENDIENTE;PENDIENTE
1;José María Linares;Puna;Capaña;U.E. Jose Maria Linares A;0;PENDIENTE;PENDIENTE
2;José María Linares;Puna;Capaña;U.E. Jose Maria Linares A;0;PENDIENTE;PENDIENTE
1;José María Linares;Puna;Vilamani;U.E. Vilamani;0;PENDIENTE;PENDIENTE
1;José María Linares;Puna;Cala Cala;U. E. Marcelino Aguirre;0;PENDIENTE;PENDIENTE
2;José María Linares;Puna;Cala Cala;U. E. Marcelino Aguirre;0;PENDIENTE;PENDIENTE
